,EN,FR
531,Excuse me.,Excuse-moi.
532,Excuse me.,Excusez-moi.
533,Excuse me?,Pardon ?
534,Excuse me?,Je vous demande pardon ?
535,Excuse me?,Plaît-il ?
536,Excuse me?,Plait-il ?
537,Excuse me?,Pardon ?
538,Fantastic!,Fantastique !
539,Feel this.,Sens ça !
540,Feel this.,Sentez ça !
541,Feel this.,Touche ça !
542,Feel this.,Touchez ça !
543,Follow me.,Suis-moi.
544,Follow us.,Suis-nous !
545,Follow us.,Suivez-nous !
546,Forget it!,Oublie !
547,Forget it!,Oublie-le !
548,Forget it!,Oubliez !
549,Forget it!,Oubliez-le !
550,Forget it.,Laisse tomber.
551,Forget it.,Oublie.
552,Forget it.,Oublie-le !
553,Get a job.,Trouve un emploi !
554,Get a job.,Trouve un boulot !
555,Get a job.,Trouvez un emploi !
556,Get a job.,Trouvez un boulot !
557,Get ready.,Prépare-toi.
558,Get ready.,Préparez-vous.
559,Go get it.,Va le chercher !
560,Go get it.,Allez le chercher !
561,Go inside.,Entrez !
562,Go to bed.,Va au lit !
563,Go to bed.,Allez au lit !
564,Good luck.,Bonne chance !
565,Good luck.,Bonne chance.
566,Grab that.,Attrape ça !
567,Grab that.,Attrapez ça !
568,Grab that.,Saisis-toi de ça !
569,Grab that.,Saisissez-vous de ça !
570,Grab this.,Attrape ça !
571,Grab this.,Attrapez ça !
572,Hands off.,Pas touche !
573,He is ill.,Il est malade.
574,He is old.,Il est vieux.
575,He's a DJ.,Il est DJ.
576,He's good.,Il est bon.
577,He's lazy.,Il est paresseux.
578,He's mine.,Il est à moi.
579,He's rich.,Il est riche.
580,He's sexy.,Il est sexy.
581,Here I am.,Me voici.
582,Here's $5.,Voilà cinq dollars.
583,Hold fire.,Halte au feu !
584,Hold fire.,Cessez le feu !
585,Hold this.,Tiens ça !
586,Hold this.,Tenez ça !
587,Hold this.,Tenez ceci !
588,Hold this.,Tiens ceci !
589,How awful!,C'est affreux !
590,How weird!,Comme c'est bizarre !
591,How's Tom?,Comment Tom va-t-il ?
592,How's Tom?,Comment va Tom ?
593,I am cold.,J'ai froid.
594,I am good.,Je suis bon.
595,I am okay.,Je vais bien.
596,I am sick.,Je suis malade.
597,I am sure.,Je suis sûr.
598,I am sure.,Je suis certain.
599,I beg you.,Je vous en prie.
600,I beg you.,Je vous en conjure.
601,I beg you.,Je vous en supplie.
602,I beg you.,Je te prie.
603,I can run.,Je sais courir.
604,I can ski.,Je sais skier.
605,I cringed.,J'eus un mouvement de recul.
606,I cringed.,J'ai eu un mouvement de recul.
607,I cringed.,Je suis rentré en moi-même.
608,I exhaled.,J’ai expiré.
609,I gave up.,J'ai abandonné.
610,I give in.,Je donne ma langue au chat.
611,I give up.,J'abandonne.
612,I got hot.,Je me suis mis à avoir chaud.
613,I got hot.,Je me suis mise à avoir chaud.
614,I had fun.,Je me suis amusé.
615,I had fun.,Je me suis amusée.
616,I had fun.,Je me suis marré.
617,I had fun.,Je me suis marrée.
618,I hate it.,Je déteste ça.
619,I have it.,Je l'ai.
620,I hit Tom.,J'ai frappé Tom.
621,I hope so.,J'espère bien.
622,I hurried.,Je me suis dépêché.
623,I hurried.,Je me suis dépêchée.
624,I inhaled.,J’ai inspiré.
625,I knew it.,Je le savais.
626,I like it.,J'aime ça.
627,I lost it.,Je l’ai perdu.
628,I love it!,J'adore ça !
629,I love it.,J'adore ça !
630,I mean it!,Je suis sérieux !
631,I mean it.,Je suis sérieux.
632,I must go.,Je dois y aller.
633,I must go.,Il faut que j'y aille.
634,I must go.,Il me faut y aller.
635,I must go.,Il me faut partir.
636,I must go.,Il me faut m'en aller.
637,I must go.,Je dois partir.
638,I must go.,Je dois m'en aller.
639,I must go.,Il faut que je m'en aille.
640,I need it.,J'en ai besoin.
641,I need it.,Il me le faut.
642,I noticed.,J'ai remarqué.
643,I prepaid.,J'ai payé d'avance.
644,I promise.,Je le promets.
645,I relaxed.,Je me suis détendu.
646,I relaxed.,Je me suis détendue.
647,I retired.,J'ai pris ma retraite.
648,I said no.,J'ai dit non.
649,I said so.,Je l'ai dit.
650,I saw him.,Je l'ai vu.
651,I saw him.,Je l’ai vu.
652,I saw him.,Je le vis.
653,I saw one.,J'en ai vu une.
654,I saw one.,J'en ai vu un.
655,I saw you.,Je vous vis.
656,I saw you.,Je te vis.
657,I saw you.,Je t'ai vue.
658,I saw you.,Je t'ai vu.
659,I saw you.,Je vous ai vues.
660,I saw you.,Je vous ai vus.
661,I saw you.,Je vous ai vue.
662,I saw you.,Je vous ai vu.
663,I see Tom.,Je vois Tom.
664,I shouted.,J'ai crié.
665,I tripped.,J'ai trébuché.
666,I tripped.,J'ai plané.
667,I want it.,Je le veux.
668,I was new.,J'étais nouveau.
669,I was new.,J'étais nouvelle.
670,I will go.,J'irai.
671,I woke up.,Je me suis réveillé.
672,I woke up.,Je me suis éveillé.
673,I'd agree.,Je serais d'accord.
674,I'd leave.,Je partirais.
675,I'll call.,J'appellerai.
676,I'll cook.,Je cuisinerai.
677,I'll help.,J'aiderai.
678,I'll live.,Je vivrai.
679,I'll obey.,J'obéirai.
680,I'll pack.,Je ferai mon sac.
681,I'll pack.,Je ferai ma valise.
682,I'll pack.,Je plierai mes gaules.
683,I'll pass.,Je passerai.
684,I'll quit.,J'abandonnerai.
685,I'll sing.,Je chanterai.
686,I'll stop.,J'arrêterai.
687,I'll swim.,Je nagerai.
688,I'll talk.,Je parlerai.
689,I'll talk.,Je vais parler.
690,I'll wait.,J'attendrai.
691,I'll walk.,Je marcherai.
692,I'll work.,Je vais travailler.
693,I'll work.,Je travaillerai.
694,I'm a cop.,Je suis flic.
695,I'm a man.,Je suis un homme.
696,I'm alive.,Je suis en vie.
697,I'm alive.,Je suis vivant.
698,I'm alive.,Je suis vivante.
699,I'm alone.,Je suis seule.
700,I'm alone.,Je suis seul.
701,I'm angry.,Je suis énervé.
702,I'm angry.,Je suis en colère.
703,I'm armed.,Je suis armé.
704,I'm armed.,Je suis armée.
705,I'm awake.,Je suis réveillé.
706,I'm blind.,Je suis aveugle.
707,I'm broke.,Je suis fauché.
708,I'm clean.,J'ai décroché.
709,I'm clean.,Je suis propre.
710,I'm crazy.,Je suis fou.
711,I'm crazy.,Je suis folle.
712,I'm cured.,Je suis guéri.
713,I'm cured.,Je suis guérie.
714,I'm dizzy.,J'ai la tête qui tourne.
715,I'm drunk.,Je suis saoul.
716,I'm drunk.,Je suis soûl.
717,I'm drunk.,Je suis ivre.
718,I'm dying.,Je me meurs.
719,I'm early.,Je suis en avance.
720,I'm first.,Je suis en premier.
721,I'm fussy.,Je suis difficile.
722,I'm fussy.,Je suis tatillon.
723,I'm fussy.,Je suis tatillonne.
724,I'm going.,Je pars maintenant.
725,I'm going.,Je me tire.
726,I'm going.,J’y vais.
727,I'm going.,Je pars.
728,I'm loyal.,Je suis loyal.
729,I'm loyal.,Je suis loyale.
730,I'm lucky.,Je suis veinard.
731,I'm lucky.,Je suis veinarde.
732,I'm lucky.,J'ai du pot.
733,I'm lucky.,Je suis chanceux.
734,I'm lucky.,Je suis chanceuse.
735,I'm lying.,Je suis en train de mentir.
736,I'm naked.,Je suis nu.
737,I'm naked.,Je suis nue.
738,I'm naked.,Je me trouve nu.
739,I'm naked.,Je me trouve nue.
740,I'm naked.,Je suis à poil.
741,I'm quiet.,Je suis tranquille.
742,I'm ready!,Je suis prête !
743,I'm ready!,Je suis prêt !
744,I'm ready.,Je suis prêt.
745,I'm right.,J'ai raison.
746,I'm sober.,Je suis sobre.
747,I'm sorry.,Excuse-moi.
748,I'm sorry.,Désolé.
749,I'm sorry.,Excusez-moi.
750,I'm sorry.,Désolé !
751,I'm sorry.,Je suis désolé.
752,I'm sorry.,Je suis désolée.
753,I'm stuck.,Je suis coincée.
754,I'm timid.,Je suis timide.
755,I'm tired.,Je suis fatigué !
756,I'm tough.,Je suis dur.
757,I'm tough.,Je suis dure.
758,I'm tough.,Je suis dur à cuire.
759,I'm tough.,Je suis dure à cuire.
760,I'm yours.,Je suis à toi.
761,I'm yours.,Je suis à vous.
762,I've lost.,J'ai perdu.
763,Is Tom OK?,Est-ce que Tom va bien ?
764,Is Tom OK?,Tom va-t-il bien ?
765,Is it bad?,C'est grave ?
766,Is it far?,Est-ce éloigné ?
767,Is it far?,Est-ce loin ?
768,Is it hot?,Est-ce chaud ?
769,Is it you?,Est-ce toi ?
770,Is it you?,Est-ce vous ?
771,Is it you?,Est-ce que c'est vous ?
772,It failed.,Ça a échoué.
773,It snowed.,Il a neigé.
774,It stinks.,Ça sent mauvais.
775,It stinks.,Ça pue.
776,It was OK.,C'était bon.
777,It was OK.,C'était correct.
778,It was OK.,C'était OK.
779,It worked.,Ça a fonctionné.
780,It worked.,Ça a marché.
781,It's 3:30.,Il est trois heures et demie.
782,It's 8:30.,Il est huit heures trente.
783,It's 8:30.,Il est 8 h 30.
784,It's a TV.,C'est une télé.
785,It's cold.,Il fait froid.
786,It's cold.,C'est froid.
787,It's dark.,C'est sombre.
788,It's dead.,Elle est morte.
789,It's dead.,C'est mort.
790,It's dead.,Il est mort.
791,It's done.,C'est fait.
792,It's easy.,C'est simple.
793,It's food.,C'est de la nourriture.
794,It's free.,C'est gratuit.
795,It's here.,Elle est ici.
796,It's here.,C'est ici.
797,It's hers.,C'est le sien.
798,It's hers.,C'est la sienne.
799,It's late.,Il est tard.
800,It's lost.,C'est perdu.
801,It's mine.,C'est le mien.
802,It's mine.,C'est la mienne.
803,It's mine.,C'est à moi.
804,It's mine.,Il s'agit du mien.
805,It's open.,C'est ouvert.
806,It's ours.,C'est le nôtre.
807,It's ours.,C'est la nôtre.
808,It's ours.,C'est à nous.
809,It's sand.,C'est du sable.
810,It's time.,Il est temps !
811,It's time.,C'est l'heure.
812,It's true!,C'est vrai !
813,It's work.,C'est du boulot.
814,Keep calm.,Restez calme.
815,Keep that.,Garde ça.
816,Keep that.,Gardez cela.
817,Keep this.,Garde ça.
818,Keep this.,Gardez ceci.
819,Let it be.,Ainsi soit-il.
820,Let it be.,Laisse faire.
821,Let me go!,Laisse-moi partir !
822,Let me go!,Laissez-moi partir !
823,Let me go!,Lâche-moi !
824,Let me go!,Lâchez-moi !
825,Let me go!,Laisse-moi m'en aller !
826,Let me go!,Laissez-moi m'en aller !
827,Let me go!,Laissez-moi y aller !
828,Let me go!,Laisse-moi y aller !
829,Let me go.,Laisse-moi partir !
830,Let me go.,Laissez-moi partir !
831,Let me go.,Laisse-moi m'en aller !
832,Let me go.,Laissez-moi m'en aller !
